depth_m,speed_mps,cweight_kg,whp_barg,temp_degC,pressure_bara,frequency_hz,datetime,timestamp
917.30676,1.5026387,136.51643,-0.39761215,71.477135,49.914726,-19.024431,2020-12-11 16:03:16.416,1607655796.416
917.5035,1.5020345,136.78154,-0.39780438,71.45623,49.951355,-19.084253,2020-12-11 16:03:16.416,1607655796.416
917.89325,1.500674,137.06918,-0.39712638,71.43272,49.986904,-19.071615,2020-12-11 16:03:16.416,1607655796.416
918.2721,1.5020345,137.4579,-0.39722323,71.40136,50.023533,-19.057953,2020-12-11 16:03:17.280,1607655797.28
918.63275,1.5020865,136.89618,-0.39538294,71.364784,50.06016,-18.724451,2020-12-11 16:03:17.280,1607655797.28
919.0262,1.5036515,136.52768,-0.39577037,71.32559,50.095715,-19.027512,2020-12-11 16:03:17.280,1607655797.28
919.4633,1.5048869,137.6219,-0.39557666,71.278564,50.132343,-19.04744,2020-12-11 16:03:18.144,1607655798.144
919.9478,1.5073336,137.47362,-0.394997,71.249825,50.167892,-19.099068,2020-12-11 16:03:18.144,1607655798.144
920.14453,1.5075684,136.8984,-0.39654672,71.2237,50.203445,-18.908857,2020-12-11 16:03:18.144,1607655798.144
920.5343,1.5079536,136.25804,-0.39673895,71.187126,50.24007,-18.845985,2020-12-11 16:03:18.144,1607655798.144
920.89856,1.5105387,137.23769,-0.397031,71.14271,50.2767,-19.154058,2020-12-11 16:03:19.008,1607655799.008
921.2774,1.5109112,137.59271,-0.39799958,71.10091,50.312252,-19.174263,2020-12-11 16:03:19.008,1607655799.008
921.65265,1.5094948,138.11398,-0.3968358,71.08001,50.34888,-19.011814,2020-12-11 16:03:19.008,1607655799.008
922.0315,1.5093384,137.80618,-0.39877295,71.05127,50.38443,-18.896475,2020-12-11 16:03:19.872,1607655799.872
922.4832,1.5098572,136.57707,-0.39848387,71.00686,50.42106,-18.997358,2020-12-11 16:03:19.872,1607655799.872
922.9677,1.509845,137.39944,-0.39741844,70.97551,50.457687,-19.439651,2020-12-11 16:03:19.872,1607655799.872
923.17896,1.5103667,138.70267,-0.39722323,70.95723,50.49324,-19.515318,2020-12-11 16:03:19.872,1607655799.872
923.4886,1.4941031,147.15556,-0.3968358,70.920654,50.529865,-19.341728,2020-12-11 16:03:20.736,1607655800.736
923.80554,1.4751104,149.73952,-0.3968358,70.88408,50.566494,-18.795706,2020-12-11 16:03:20.736,1607655800.736
924.12244,1.4559746,150.30124,-0.39761215,70.85012,50.602047,-14.27791,2020-12-11 16:03:20.736,1607655800.736
924.41754,1.4243368,135.11212,-0.39712638,70.81877,50.62467,-13.556129,2020-12-11 16:03:21.600,1607655801.6
924.70166,1.3708416,144.49745,-0.39741844,70.79265,50.661297,-13.313229,2020-12-11 16:03:21.600,1607655801.6
924.9275,1.291324,169.26067,-0.3973201,70.7822,50.691463,-15.353204,2020-12-11 16:03:21.600,1607655801.6
924.9967,1.2397665,169.68536,-0.3973201,70.74302,50.71301,-12.137948,2020-12-11 16:03:21.600,1607655801.6
925.0623,1.136556,170.29204,-0.39673895,70.72996,50.734554,-8.311699,2020-12-11 16:03:22.464,1607655802.464
925.0696,1.0126953,158.96533,-0.39673895,70.698616,50.747482,-4.7393928,2020-12-11 16:03:22.464,1607655802.464
925.07324,0.9359225,153.4267,-0.39644986,70.68033,50.761486,,2020-12-11 16:03:22.464,1607655802.464
921.1572,-0.9010576,162.87723,-0.39470494,70.94939,50.44584,10.67923,2020-12-11 16:03:35.424,1607655815.424
920.8585,-0.9580485,166.05432,-0.39712638,70.967674,50.42106,11.61092,2020-12-11 16:03:35.424,1607655815.424
920.5088,-0.99577653,163.42772,-0.39693415,70.980736,50.394127,13.242715,2020-12-11 16:03:36.288,1607655816.288
920.11176,-1.0342613,158.3879,-0.39644986,70.98335,50.36504,13.960697,2020-12-11 16:03:36.288,1607655816.288
919.9332,-1.0600586,157.46889,-0.394997,71.012085,50.33703,13.426149,2020-12-11 16:03:36.288,1607655816.288
919.609,-1.0964966,160.25954,-0.3956735,71.02776,50.30794,12.966592,2020-12-11 16:03:37.152,1607655817.152
919.2848,-1.1119103,161.67285,-0.39460808,71.02254,50.2767,12.91789,2020-12-11 16:03:37.152,1607655817.152
918.9497,-1.1495715,163.60748,-0.3943175,71.05127,50.246536,13.501979,2020-12-11 16:03:37.152,1607655817.152
918.61456,-1.1972656,162.67949,-0.3948018,71.06434,50.215294,13.840359,2020-12-11 16:03:37.152,1607655817.152
918.2029,-1.23259,158.52042,-0.39470494,71.0983,50.182976,14.732647,2020-12-11 16:03:38.016,1607655818.016
917.76215,-1.2656384,157.73177,-0.39586723,71.12442,50.150658,14.493585,2020-12-11 16:03:38.016,1607655818.016
917.58,-1.2871094,159.14508,-0.3948018,71.15839,50.118336,13.935995,2020-12-11 16:03:38.016,1607655818.016
917.23395,-1.3077596,162.38737,-0.39460808,71.187126,50.086018,13.744764,2020-12-11 16:03:38.880,1607655818.88
916.88055,-1.3259888,163.65689,-0.39509237,71.23154,50.05262,14.312227,2020-12-11 16:03:38.880,1607655818.88
916.5272,-1.3327073,159.47089,-0.39441437,71.247215,50.018147,15.221458,2020-12-11 16:03:38.880,1607655818.88
916.1739,-1.3504361,157.91151,-0.39441437,71.2864,49.98583,15.230911,2020-12-11 16:03:38.880,1607655818.88
915.7622,-1.3720462,158.92262,-0.39528608,71.31253,49.9492,14.180792,2020-12-11 16:03:39.744,1607655819.744
915.2887,-1.3847156,162.15147,-0.39422065,71.349106,49.91688,13.705604,2020-12-11 16:03:39.744,1607655819.744
915.1029,-1.3939615,163.176,-0.3945127,71.37262,49.883484,14.280924,2020-12-11 16:03:39.744,1607655819.744
914.74225,-1.4024862,160.32693,-0.39528608,71.38307,49.847935,14.796464,2020-12-11 16:03:40.608,1607655820.608
914.3816,-1.4109904,158.73839,-0.3948018,71.41704,49.81346,15.269885,2020-12-11 16:03:40.608,1607655820.608
914.021,-1.4134052,159.15407,-0.39654672,71.43272,49.780064,14.80604,2020-12-11 16:03:40.608,1607655820.608
913.6567,-1.4206886,160.70895,-0.3945127,71.45884,49.74451,14.534608,2020-12-11 16:03:40.608,1607655820.608
913.28876,-1.4304199,160.6865,-0.39606243,71.464066,49.70896,14.438991,2020-12-11 16:03:41.472,1607655821.472
912.8662,-1.4367555,159.66634,-0.3941238,71.49803,49.674488,15.3565855,2020-12-11 16:03:41.472,1607655821.472
912.3963,-1.441882,159.43494,-0.3945127,71.51633,49.640015,15.08018,2020-12-11 16:03:41.472,1607655821.472
912.1923,-1.4449667,158.80128,-0.3934443,71.56597,49.60446,14.737487,2020-12-11 16:03:42.336,1607655822.336
911.8244,-1.4498291,160.2483,-0.3922835,71.586876,49.56999,15.136623,2020-12-11 16:03:42.336,1607655822.336
911.4564,-1.4515287,160.2663,-0.39296,71.615616,49.53444,14.943488,2020-12-11 16:03:42.336,1607655822.336
911.0885,-1.4559832,159.16531,-0.39518923,71.65481,49.498886,14.774478,2020-12-11 16:03:42.336,1607655822.336
910.7206,-1.4607748,159.9315,-0.39460808,71.68878,49.464413,14.549138,2020-12-11 16:03:43.200,1607655823.2
910.2944,-1.4631171,159.363,-0.39470494,71.70969,49.428864,14.953787,2020-12-11 16:03:43.200,1607655823.2
909.82446,-1.4653149,158.1879,-0.3945127,71.741035,49.39331,15.108784,2020-12-11 16:03:43.200,1607655823.2
909.6205,-1.4668375,159.25742,-0.39557666,71.79069,49.35776,15.205263,2020-12-11 16:03:44.064,1607655824.064
909.25256,-1.468038,158.65974,-0.39460808,71.82466,49.32221,14.603108,2020-12-11 16:03:44.064,1607655824.064
908.88464,-1.468038,160.29324,-0.3948018,71.85602,49.28881,15.287855,2020-12-11 16:03:44.064,1607655824.064
908.5167,-1.4683181,158.85745,-0.39460808,71.874306,49.252186,14.537024,2020-12-11 16:03:44.928,1607655824.928
908.14514,-1.470738,158.85745,-0.39460808,71.91873,49.217712,14.547776,2020-12-11 16:03:44.928,1607655824.928
907.7153,-1.4727141,160.55168,-0.3945127,71.93964,49.18216,14.737556,2020-12-11 16:03:44.928,1607655824.928
907.2381,-1.4746958,159.5877,-0.3948018,71.98668,49.14553,15.016185,2020-12-11 16:03:44.928,1607655824.928
907.03046,-1.4753214,158.90692,-0.39460808,72.02326,49.111057,15.1213255,2020-12-11 16:03:45.792,1607655825.792
