depth_m,whp_barg,pres_barg,temp_degC
0.0,4.019267731307571,3.929267731307572,10.48
10.5,4.019267731307571,3.929267731307572,10.86
20.7,4.019267731307571,3.929267731307572,11.63
30.4,4.019267731307571,3.939267731307571,12.25
40.3,4.019267731307571,3.949267731307571,12.77
50.1,4.019267731307571,3.959267731307571,13.09
61.1,4.079267731307571,3.959267731307571,13.55
70.8,4.019267731307571,3.979267731307571,14.26
80.5,4.019267731307571,3.979267731307571,15.19
90.3,4.019267731307571,3.979267731307571,16.51
100.2,4.019267731307571,3.989267731307571,18.12
110.7,4.019267731307571,3.999267731307571,20.04
120.4,4.019267731307571,3.999267731307571,22.73
130.5,4.019267731307571,4.009267731307571,47.2
140.5,4.019267731307571,4.009267731307571,107.78
150.7,4.079267731307571,4.009267731307571,131.08
160.7,4.019267731307571,4.009267731307571,143.74
170.3,4.019267731307571,4.009267731307571,148.07
181.1,4.019267731307571,4.019267731307571,150.09
190.7,4.019267731307571,4.019267731307571,150.96
200.1,4.019267731307571,4.019267731307571,151.42
210.4,4.019267731307571,4.019267731307571,151.72
220.2,4.019267731307571,4.029267731307571,151.9
230.2,4.019267731307571,4.029267731307571,152.02
240.2,4.019267731307571,4.029267731307571,152.11
250.2,4.019267731307571,4.029267731307571,152.18
260.3,4.019267731307571,4.039267731307571,152.23
270.2,4.079267731307571,4.039267731307571,152.28
280.1,4.019267731307571,4.039267731307571,152.33
291.2,4.019267731307571,4.039267731307571,152.35
301.1,4.019267731307571,4.039267731307571,152.38
311.1,4.019267731307571,4.049267731307571,152.39
320.9,4.019267731307571,4.049267731307571,152.42
330.4,4.079267731307571,4.049267731307571,152.46
340.1,4.079267731307571,4.049267731307571,152.46
350.9,4.019267731307571,4.379267731307571,153.31
360.2,4.019267731307571,5.089267731307571,157.02
370.8,4.079267731307571,5.939267731307571,161.87
380.4,4.019267731307571,6.699267731307571,166.23
390.1,4.079267731307571,7.459267731307571,170.3
400.1,4.019267731307571,8.259267731307572,174.27
411.0,4.019267731307571,9.119267731347573,178.33
420.7,4.019267731307571,9.869267731347572,181.62
430.2,4.019267731307571,10.659267731347573,183.91
441.0,4.019267731307571,11.599267731347572,184.75
450.4,4.019267731307571,12.399267731347573,185.22
460.9,4.019267731307571,13.309267731347571,186.87
470.8,4.019267731307571,14.169267731347572,190.46
480.9,4.019267731307571,15.029267731347572,194.01
490.8,4.019267731307571,15.869267731347573,197.26
500.9,4.019267731307571,16.71926773134757,200.76
510.8,3.989267731307571,17.55926773134757,203.4
520.4,4.019267731307571,18.369267731347573,205.59
530.1,4.019267731307571,19.189267731347574,207.37
541.0,4.019267731307571,20.09926773134757,209.61
550.5,4.019267731307571,20.889267731347577,211.68
560.8,4.019267731307571,21.75926773134757,214.0
570.3,4.019267731307571,22.549267731347577,216.69
580.2,4.019267731307571,23.369267731347573,218.8
590.0,4.019267731307571,24.16926773134757,220.0
600.0,4.019267731307571,24.98926773134757,221.18
610.2,4.019267731307571,25.839267731347572,222.16
620.1,4.019267731307571,26.64926773134757,222.65
631.0,4.019267731307571,27.549267731347577,222.98
640.7,4.019267731307571,28.339267731347572,223.16
651.1,4.019267731307571,29.169267731347567,223.33
660.8,4.019267731307571,29.979267731347576,223.5
670.7,4.019267731307571,30.799267731347577,223.62
680.6,3.989267731307571,31.609267731347575,223.77
690.6,4.019267731307571,32.42926773134758,223.88
700.3,3.989267731307571,33.229267731347576,224.14
711.1,4.019267731307571,34.11926773134758,224.91
720.7,3.989267731307571,34.91926773134757,226.46
730.3,4.019267731307571,35.68926773134758,228.46
741.1,4.019267731307571,36.569267731347566,230.04
750.5,4.019267731307571,37.339267731347576,230.43
760.8,4.019267731307571,38.16926773134757,230.51
770.3,3.989267731307571,38.93926773134758,230.52
780.1,4.019267731307571,39.729267731347576,230.54
791.2,3.989267731307571,40.629267731347575,230.54
801.2,4.019267731307571,41.459267731347566,230.56
811.2,3.989267731307571,42.25926773134758,230.51
820.1,3.989267731307571,42.98926773134757,230.53
831.0,4.019267731307571,43.879267731347575,230.56
840.7,4.019267731307571,44.66926773134757,230.58
850.4,3.989267731307571,45.459267731347566,230.62
860.1,4.019267731307571,46.24926773134758,230.66
870.8,4.019267731307571,47.11926773134758,230.68
880.0,4.019267731307571,47.879267731347575,230.73
890.8,4.019267731307571,48.75926773134758,230.79
900.7,4.019267731307571,49.54926773134758,230.82
910.5,4.019267731307571,50.35926773134758,230.81
920.4,4.079267731307571,51.16926773134757,230.56
926.4,4.019267731307571,51.66926773134757,230.4
